Raag Name,URL,Time,Aaroh,Avroh,S,r,R,g,G,m,M,P,d,D,n,N,Source_File,Swar,Jati,Thaat,Vadi - Samvadi,Vishranti Sthan,Mukhya Ang,Magnitude,Final_X,Final_Y,Final_Z
Sindhura,https://tanarang.com/wordpress/raag-sindhura/,4th Prahar of the Day (3PM to 6PM),S R m P D S'; - S' n D P m g R m g R S;,,True,False,True,True,False,True,False,True,False,True,True,False,MASTER_COMBINED_RAW.csv,Gandhar and Nishad Varjya in Aaroh. Gandhar and Nishad Komal in Avroh. Rest all Shuddha Swaras.,Audhav - Sampurna,Kafi,Shadj - Pancham,S; P; D; - S'; D; P; g;,R m P D ; n D P S' ; R' g' R' S' ; n D P m g R ; m g R S;,7,0.0304,5.0607,1.8895
Sohani,https://tanarang.com/wordpress/raag-sohani/,4th Prahar of the Night (3AM to 6AM),S G M D N S'; - S' N D N D M G r S ;,,True,True,False,False,True,False,True,False,False,True,False,True,MASTER_COMBINED_RAW.csv,"Rishabh and Pancham Varjya in Aaroh. Pancham Varjya in Avroh. Rishabh Komal, Madhyam Teevra. Rest all Shuddha Swaras.",Audhav - Shadhav Vakra,Marwa,Dhaivat - Gandhar,G; D; - D; G;,M D N S' r' S' ; N D N D ; S' r' S' r' N S' N D G M G ;,6,0.9367,4.0387,1.0912
Suha Sughrai,https://tanarang.com/wordpress/raag-suha-sughrai/,2nd Prahar of the Day (9AM to 12PM),",n S ; (m)g (m)g m ; P n P ; P n m P S'; (Suha) or ,n S R m P ; P n P n S' ; (Sughrai) - S' P n P m P (m)g m R S ; (Suha) or S' n P m R S R (m)g m R S ; (Sughrai)",,True,True,True,True,False,True,False,True,False,False,True,False,MASTER_COMBINED_RAW.csv,"Dhaivat Varjya. Gandhar, Nishad Komal. Rest all Shuddha Swaras.",Shadhav - Shadhav,Kafi,Pancham - Shadj,S; g ; m ; P ;,P n m P S' ; n n P m R S R (m)g ; g m R S ;,7,0.07,4.11,2.7712
Sundarkali,https://tanarang.com/wordpress/raag-sundarkali/,2nd Prahar of the Day (9AM to 12PM),S r G P n S'; - S' n P G ; P G r S ;,,True,True,False,False,True,False,False,True,False,False,True,False,MASTER_COMBINED_RAW.csv,Madhyam and Dhaivat Varjya. Rishabh and Nishad Komal. Rest all Shuddha Swaras.,Audhav - Audhav,Not Defined,-,S; G; n; - n; P; G ;,"S r G P n P ; G P n ; P G r S ; r S ,n S r S;",5,0.0,3.0,2.0
Sundarkauns,https://tanarang.com/wordpress/raag-sundarkauns/,2nd Prahar of the Night (9PM to 12AM),"S g m D n S'; - S' n D m g m g S ,n S;",,True,False,False,True,False,True,False,False,False,True,True,False,MASTER_COMBINED_RAW.csv,Rishabh and Pancham Varjya. Gandhar and Nishad Komal. Rest all Shuddha Swaras.,Audhav - Audhav,Kafi,Madhyam - Shadj,S; m; D; - S'; D; m;,",n ,n ,D ; ,D ,n S ; g m g S ; g m D ; n D ; m D n S'; S' D n D m g S;",5,0.0202,3.5387,1.8983
Surdasi Malhar,https://tanarang.com/wordpress/raag-surdasi-malhar/,Anytime in Rainy Season,"S R m P N S'; - S' n D P ; m D P ; n D P m R ; ,N S;",,True,False,True,False,False,True,False,True,False,True,True,True,MASTER_COMBINED_RAW.csv,Gandhar and Dhaivat Varjya in Aaroh. Gandhar Varjya in Avroh. Both Nishads. Rest all Shuddha Swaras.,Audhav - Shadhav Vakra,Kafi,Madhyam - Shadj,S; R; m; P; - S'; P; m; R;,"m R ,N S ; S' ; n D m P n D P ; m R P m D P ; m R ,N S ;",7,0.0206,5.5485,1.2318
Tilak Kamod,https://tanarang.com/wordpress/raag-tilak-kamod/,2nd Prahar of the Night (9PM to 12AM),",P ,N S R G S ; S R m P N S’ - S’ P D m G S R G S ,N ,P ,N S R G S",,True,False,True,False,True,True,False,True,False,True,False,True,MASTER_COMBINED_RAW.csv,Gandhar and Dhaivat Varjya in Aaroh. Rare use of Komal Nishad in Avroh. Rest all Shuddha Swaras.,Audhav - Sampurna Vakra,Khamaj,Shadj - Pancham,",N P S' - S' G S;",",P ,N S R G S ; R P m G ; S R G S ,N ; S R m P S’ ; S’ R’ G’ S’ ; S’ P D m G ; S R m G ; S R G S ,N ;",7,0.0307,6.8213,0.1284
Tilang,https://tanarang.com/wordpress/raag-tilang/,2nd Prahar of the Night (9PM to 12AM),S G m P N S'; - S' n P m G S;,,True,False,False,False,True,True,False,True,False,False,True,True,MASTER_COMBINED_RAW.csv,Rishabh and Dhaivat Varjya. Both Nishads. Rest all Shuddha Swaras.,Audhav - Audhav,Khamaj,Gandhar - Nishad,S; G; P; N; - S; P; G; S;,G m P n P m G ; n P G m G ;,6,0.0502,5.0306,1.0087
Tilang Bahar,https://tanarang.com/wordpress/raag-tilang-bahar/,2nd Prahar of the Night (9PM to 12AM),S R S m ; G m P n P ; m D N S'; - S' n P m g m R S;,,True,False,True,True,True,True,False,True,False,True,True,True,MASTER_COMBINED_RAW.csv,"Rishabh Varjya in Aaroh. Both Gandhars, both Nishads. Rest all Shuddha Swaras.",Shadhav - Sampurna Vakra,Khamaj (when Tilang is dominant) or Kafi (when Bahar is dominant),Gandhar (Tilang) or Madhyam (Bahar) - Nishad (Tilang) or Shadj (Bahar),S m P - S' P m G;,m P m g ; m ; n P m ; P N S' ; g m P m g m R S;,9,0.0,7.0,2.0
Todi,https://tanarang.com/wordpress/raag-todi/,2nd Prahar of the Day (9AM to 12PM),S r g M P d N S' - S' N d P M g r S,,True,True,False,True,False,False,True,True,True,False,False,True,MASTER_COMBINED_RAW.csv,"Rishabh, Gandhar and Dhaivat Komal. Madhyam Teevra. Rest all Shuddha Swaras.",Sampurna - Sampurna,Todi,Dhaivat - Gandhar,S; g; d; - d; g; S;,",d ; ,N S r g ; M r g ; r S;",7,0.9403,3.1355,2.8856
Vachaspati,https://tanarang.com/wordpress/raag-vachaspati/,4th Prahar of the Day (3PM to 6PM),"S G M P n S' - S' n D P M G R S ,n S",,True,False,True,False,True,False,True,True,False,True,True,False,MASTER_COMBINED_RAW.csv,Rishabh and Dhaivat Varjya in Aaroh. Nishad Komal. Madhyam Teevra. Rest all Shuddha Swaras.,Audhav - Sampurna,Not Defined,Shadj - Pancham,G; P; n; - D; P; G; R;,",n S G M ; P D P ; M G R S ; R ,n S ; M G R S ;",7,0.9111,5.0595,1.0097
Vibhas,https://tanarang.com/wordpress/raag-vibhas/,1st Prahar of the Day (6AM to 9AM),S r G P d S' - S' d P G r S,,True,True,False,False,True,False,False,True,True,False,False,False,MASTER_COMBINED_RAW.csv,Madhyam and Nishad Varjya. Rishabh and Dhaivat Komal. Rest all Shuddha Swaras.,Audhav - Audhav,Bhairav,Dhaivat - Rishabh,r; P; d;,P d d P ; G P G r S ;,5,0.0099,3.02,2.02
Yaman,https://tanarang.com/wordpress/raag-yaman/,1st Prahar of the Night (6PM to 9PM),",N R S - N R G M P D N S' - S' N D P M G R S ,N R S",,True,False,True,False,True,False,True,True,False,True,False,True,MASTER_COMBINED_RAW.csv,Madhyam Teevra. Rest all Shuddha Swaras.,Sampurna - Sampurna,Kalyan,Gandhar - Nishad,S; G; N; - S'; N; P; G;,",N R G ; ,N R M G ; M P ; M D P N D P M R G R ; ,N R ,D ,N S;",7,0.9307,5.9109,0.1288
