Raag Name,URL,Time,Aaroh,Avroh,Swar,Jati,Thaat,Vadi - Samvadi,Vishranti Sthan,Mukhya Ang,S,r,R,g,G,m,M,P,d,D,n,N,Source_File,Magnitude,Final_X,Final_Y,Final_Z
Jaijaivanti,https://tanarang.com/wordpress/raag-jaijaivanti/,2nd Prahar of the Night (9PM to 12AM),"S ,D ,n R; R g R S; G m P m G R ; R m P N S' - S' n D P m G R g R S; ,N S ,D ,n R S",,Gandhar and Dhaivat Varjya in Aaroh. Both Gandhars. Both Nishads. Rest all Shuddha Swaras.,Audhav - Sampurna Vakra,Kafi,Rishabh - Pancham,S R P N - S' P R;,",D,n R ; R g R S ; ,N S ; R m P N ; n D P;",True,False,True,True,True,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,9,0.0207,6.845,1.9536
Jaldhar Kedar,https://tanarang.com/wordpress/raag-jaldhar-kedar/,2nd Prahar of the Night (9PM to 12AM),S R m P D S' - S' D P m R S,,Gandhar and Nishad Varjya. Rest all Shuddha Swaras.,Audhav - Audhav,Bilawal,Madhyam - Shadj,m; S;,S R S m ; m R P m ; m P D S' ; R' S' D P m ; P m R S ;,True,False,True,False,False,True,False,True,False,True,False,False,tanarang_Raw_Data.csv,5,0.0229,4.8746,0.5621
Jaunpuri,https://tanarang.com/wordpress/raag-jaunpuri/,2nd Prahar of the Day (9AM to 12PM),S R m P d n S' - S' n d P m g R S,,"Gandhar Varjya in Aaroh. Gandhar, Dhaivat and Nishad Komal. Rest all Shuddha Swaras.",Shadhav - Sampurna,Asawari,Dhaivat - Gandhar,R; P; d; S'; - d; P; g; R;,"R m P , d m P S' ; R' n d P ; m P n d P ; d m P g R m P ;",True,False,True,True,False,True,False,True,True,False,True,False,tanarang_Raw_Data.csv,7,0.0409,4.0377,2.8913
Jayat,https://tanarang.com/wordpress/raag-jayat/,4th Prahar of the Day (3PM to 6PM) or Sandhi Prakash Raag,S r G P D P S' - S' P D P ; P D G P; P G r S,,Madhyam and Nishad Varjya in Aaroh. Rishabh Komal. Rest all Shuddha Swaras.,Audhav - Audhav,Marwa,Pancham - Shadj,S; G; P;,P D P S'; S' P ; P D G P ; P G r S;,True,True,False,False,True,False,False,True,False,True,False,False,tanarang_Raw_Data.csv,5,0.0736,4.1085,1.2105
Jhinjhoti,https://tanarang.com/wordpress/raag-jhinjhoti/,2nd Prahar of the Night (9PM to 12AM),S R m P D S'; - S' n D P m G R G S;,,Nishad Varjya in Aaroh. Nishad Komal in Avroh. Rest all Shuddha Swaras.,Shadhav - Sampurna Vakra,Khamaj,Gandhar - Nishad,S; P; D; - S'; P; G;,",D S R m G ; R G S R ,n ,D ,P ,D S ; ,P ,D S R G m G ; m G R S ; R ,n ,D S ;",True,False,True,False,True,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,7,0.0491,5.9145,1.0092
Jog,https://tanarang.com/wordpress/raag-jog/,2nd Prahar of the Night (9PM to 12AM),"S G m P n S'; - S' n P m g S; ,n S;",,"Rishabh and Dhaivat Varjya. Nishad Komal, Both Gandhars. Rest all Shuddha Swaras.",Audhav - Audhav,Kafi,Madhyam - Shadj,G; m; P; - P; m; G;,G m P n P ; P n P m G m ; G m g S;,True,False,False,True,True,True,False,True,False,False,True,False,tanarang_Raw_Data.csv,6,0.0232,4.2033,1.9078
Jogeshwari,https://tanarang.com/wordpress/raag-jogeshwari/,2nd Prahar of the Night (9PM to 12AM),S G m D n S'; - S' n D m G m g S;,,Rishabh and Pancham Varjya. Nishad Komal. Both Gandhars. Rest all Shuddha Swaras.,Audhav - Audhav,Kafi,Madhyam - Shadj,S; G m; D; - D; m; G; S;,"S G m g S ; ,n ,D ; ,m ,D ,n S ; S G m ; n D m ; D n S' ; S' D ; n m ; D G ; m g S ;",True,False,False,True,True,True,False,False,False,True,True,False,tanarang_Raw_Data.csv,6,0.0234,4.2104,1.9068
Pancham Jogeshwari,https://tanarang.com/wordpress/raag-pancham-jogeshwari/,2nd Prahar of the Night (9PM to 12AM),S G m D n S' - S' n D m G m P m g S,,"Rishabh Varjya. Pancham Varjya in Aaroh. Nishad Komal, Both Gandhars. Rest all Shuddha Swaras.",Audhav - Shadhav,Kafi,Madhyam - Shadj,S; G m; D; - D; m; G; S;,"S G m g S ; ,n ,D ; ,m ,D ,n S ; S G m ; m P m g S ; n D m ; D n S' ; S' D ; n D ; D m ; P m g S ;",True,False,False,True,True,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,7,0.0237,4.8735,1.9054
Jogiya,https://tanarang.com/wordpress/raag-jogiya/,1st Prahar of the Day (6AM to 9AM) or Brahm Muhurt,S r m P d S'; - S' N d P ; m m r S ;,,"Gandhar and Nishad Varjya in Aaroh, Gandhar Varjya in Avroh. Rishabh and Dhaivat Komal. Rest all Shuddha Swaras.",Audhav - Shadhav,Bhairav,Madhyam - Shadj,S; m; P; d; - S'; d; m; r;,r m m ; m P d ; P d N d P ; P d m r S;,True,True,False,False,False,True,False,True,True,False,False,True,tanarang_Raw_Data.csv,6,0.0239,4.2062,1.905
Jogkauns,https://tanarang.com/wordpress/raag-jogkauns/,3rd Prahar of the Night (12AM to 3AM),S G m d N S'; - S' N d P m ; P d n d P m ; G m (S)g S ;,,"Rishabh Varjya. Both Nishads, Both Gandhars, Dhaivat Komal. Rest all Shuddha Swaras.",Shadhav - Shadhav Vakra,Bhairavi,Madhyam - Shadj,S; m; - m; S;,G m ; G m P m ; G m d N S' ; S' N d ; P d n d m P m ; G m (S)g S ;,True,False,False,True,True,True,False,True,True,False,True,True,tanarang_Raw_Data.csv,8,0.0241,4.8833,2.569
