Raag Name,URL,Time,Aaroh,Avroh,Swar,Jati,Thaat,Vadi - Samvadi,Vishranti Sthan,Mukhya Ang,S,r,R,g,G,m,M,P,d,D,n,N
Abhogi Kanada,https://tanarang.com/wordpress/raag-abhogi-kanada/,2nd Prahar of the Night (9PM to 12AM),"S R g m D S' - S' D m g R g m R S ; R ,D ,D S",,"Pancham, Nishad Varjya. Gandhar Komal. Rest All Shuddha Swaras.",Audhav - Audhav Vakra,Kafi,Madhyam - Shadj,R; m; D; S;,"S R ,D S ; R g m ; g m R S;",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Adana,https://tanarang.com/wordpress/raag-adana-2/,2nd Prahar of the Night (9PM to 12AM),S R m P d n S' - S' d n P ; m P g m R S,,"Gandhar Varjya in Aaroh. Gandhar, Dhaivat, Nishad Komal. Rest All Shuddha Swaras.",Shadhav - Sampurna Vakra,Asawari,Shadj - Pancham,P; n; - S'; P; R;,m P d n S'; S' d n S' ; S' d n P ; m P ; g m R S;,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Aheer Bhairav,https://tanarang.com/wordpress/raag-aheer-bhairav/,1st Prahar of the Day (6AM to 9AM),S r G m P D n S' - S' n D P m G r S or S' n D P m G m r S,,Rishabh and Nishad Komal. Rest All Shuddha Swaras.,Sampurna - Sampurna,Bhairav,Madhyam - Shadj,S; r; m; P; - S'; P; m; r;,"G m P ; D n D ; P D P ; S' n D ; n D P m G m ; G m P m r r S ; ,n ,D ,n r r S;",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Alhaiya Bilawal,https://tanarang.com/wordpress/raag-alhaiya-bilawal/,1st Prahar of the Day (6AM to 9AM),S R G P D N S' - S' N D P D n D P m G R S,,Madhyam Varjya in Aaroh. Both Nishads. Rest All Shuddha Swaras.,Shadhav - Sampurna,Bilawal,Dhaivat - Gandhar,S; G; P; - S'; P; G;,G R G P ; D n D P ; m G R ; G P D N S' ;,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Bageshree,https://tanarang.com/wordpress/raag-bageshree/,2nd Prahar of the Night (9PM to 12AM),"S R g m D n S' - S' n D m P D m g R S; ,n S",,Pancham Varjya in Aaroh. Gandhar and Nishad Komal. Rest All Shuddha Swaras.,Shadhav - Sampurna Vakra,Kafi,Madhyam - Shadj,S; m; D; - S'; D; m; g;,",n S m ; S g m ; g R S ; ,n ,D ; m D n D ; m g R S;",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Bahar,https://tanarang.com/wordpress/raag-bahar/,2nd Prahar of the Night (9PM to 12AM) or Anytime in Spring Season.,"S R S m P m g m D N S' - S' n P m g m R S ,N S",,"Rishabh and Pancham Varjya in Aaroh. Dhaivat Varjya in Avroh. Gandhar Komal, Both Nishads. Rest All Shuddha Swaras.",Audhav - Shadhav Vakra,Kafi,Madhyam - Shadj,S; m; P; - S'; m; R;,S m ; P m g m ; n P m ; m n D N S' ; n P m ; P m ; g m R S;,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
Bairagi,https://tanarang.com/wordpress/raag-bairagi/,1st Prahar of the Day (6AM to 9AM),S r m P n S' - S' n P m r S,,Gandhar and Dhaivat Varjya. Rishabh and Nishad Komal. Rest All Shuddha Swaras.,Audhav - Audhav,Bhairav,Madhyam - Shadj,S; r; m; P;,"m P n P m r ; r P m r S ; ,n S r S ;",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Bairagi Todi,https://tanarang.com/wordpress/raag-bairagi-todi/,1st Prahar of the Day (6AM to 9AM),S r g P n S' - S' n P g r S,,"Madhyam and Dhaivat Varjya. Rishabh, Gandhar, Nishad Komal. Rest all Shuddha Swaras.",Audhav - Audhav,Todi,Pancham - Shadj,S; r; P;,",n S r g ; g r ,n ,P ; ,n r S ;",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Basant,https://tanarang.com/wordpress/raag-basant/,2nd Prahar of the Night (9PM to 12AM) or Anytime in Spring Season.,S G M d N S' - S' N d P M G M N d M G r S,,Rishabh and Pancham Varjya in Aaroh. Rishabh and Dhaivat Komal. Madhyam Teevra. Rest All Shuddha Swaras.,Audhav - Sampurna Vakra,Poorvi,Tar Shadj - Pancham,S; G; - S'; P; G;,M d r' S' ; N S' r' N d P ; G M d N M G ; M d G M G ; M G M G r S ;,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Basant Mukhari,https://tanarang.com/wordpress/raag-basant-mukhari/,2nd Prahar of the Day (9AM to 12PM),"S r G m P d n S'; - S' n d P m G r S ,n S;",,"Rishabh, Dhaivat and Nishad Komal. Rest All Shuddha Swaras.",Sampurna - Sampurna,Bhairav,Pancham - Shadj,S; G; m; - S'; P; m; r;,"S r G ; G m ; P m ; P d n d P m ; P m G m ; G r ; r S ; ,n ,d ,n S r ; r G m ; G r S ; G m r S;",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
